"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"83","07","BRC","AF2437",,,,,"83","07","BRC","AF2437","F",,"83","07","17",1.00,20.00,"PM","04",0.00,0.00,0.00,0.00,,"CLEARING",,"17",85.00,"2","1","000","R",,,0.00,"6",,"#10 CROSSOVER","2",,"2","CPAA","207244","010","Y",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,"H702",,0.00,0.00,0.00,0.00,"H702","2","2","005",10509.00,,"17C031",0.00,"000000",0.00,,,,,,,,,"1","4",,"3S","0","??????","N",164.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","00","00",,"N",,,"BRC 7:00 AM WEST YARD ASSIGNMENT WAS KICKING A BAD ORDER (SFRC 56228) OUT OF TRAIN. SWITCH WAS IMPRO","PERLY LINED, AND CAR INTO SIDE OF TRAIN OCCUPYING #10 CROSSOVER.",,,,,,,,,,,,,,,,,,,,,,
,"83","06","CNW","830608",,,,,"83","06","CNW","830608","F",,"83","06","14",10.00,15.00,"AM","01",0.00,0.00,0.00,0.00,"WISCONSIN","ROCK SPRINGS",,"55",75.00,"2","1","005","E","20","3",2130.00,"1","Y","TRK 1","1",,"2","CNW","791177","073","N",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,6000.00,445.00,"M404",,0.00,0.00,0.00,0.00,"M404","2","1","005",7445.00,,"55C111",0.00,"000000",0.00,"1","0","1","2","01","00","01","00","1","4","W","1L","0","WISCON","N",102.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"SAUK","111","00","00",,"N",,,"CNW 791177 PICKED UP ON SCREENINGS ON RAIL CAUSING DERAILMENT WHILE SHOVING STRIKING A CAR ON TRACK","1.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","NW","T231283004",,,,,"83","12","NW","T231283004","F",,"83","12","13",4.00,35.00,"AM","02",0.00,0.00,0.00,0.00,"ROANOKE TERMINAL","ROANOKE","N259.9","51",50.00,"4","1","007","R",,"4",2895.00,"7","Y","TRK #4 RECEIVING YD","2",,"2","NW","000139","001",,,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,7.00,0.00,2.00,1.00,0.00,2.00,0.00,1.00,10050.00,0.00,"H702","H601",0.00,1.00,0.00,1.00,"H702","2","2","007",10050.00,,"51C161",1.00,"000000",0.00,"1","0","1","2","04","50","04","50","3","2","E","1L","0","ROATER","NI",283.00,"550","1983",0.00,0.00,0.00,0.00,0.00,0.00,"ROANOKE","161","00","00",,"N",,,"AS THE 11:45PM HUMP CREW WAS PROCEEDING WESTWARD FROM HUMP INTO THE RECEIVING YARD, THE MOVEMENT UNE","XPECTEDLY COUPLED TO STANDING CONSIST OF UNITS AT EAST END OF TRACK NO 4 RESULTING IN FOUR CARS DERA","ILING (NW 518514, 187359, 71835 AND 164262) AND 'B' END OF NW 173406 BEING DAMAGED.",,,,,,,,,,,,,,,,,,,,,
,"83","12","OCE","8320",,,,,"83","12","OCE","8320","F",,"83","12","16",5.00,20.00,"AM","01",0.00,0.00,0.00,0.00,,"KLAMATH FALLS","30.5","41",30.00,"4","2","010","E","7605","3",4095.00,"1","Y","MAINLINE","2",,"1","WTCX","003082","053","N",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,7800.00,2250.00,"H503","M101",0.00,0.00,0.00,0.00,"H503","1","2","010",10050.00,,"41C035",0.00,,0.00,"1","1","1","2","01","20","01","20","1","8",,"3L","0","??????","IM",164.00,"715","1983",0.00,0.00,0.00,0.00,0.00,0.00,"KLAMATH","035","00","00",,"N",,,"SLIPPAGE ON TRACK OF LOCOMOTIVES DUE TO ICE CAUSE SLACK ACTION GOING AROUND CURVE, KNUCKLES CAME APA","RT. TRAILING CARS MOMENTUM CAUSE CARS TO BE PUSHED OFF OF TRACK.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","TRRA","65926","83","12","NW","T301283014","83","12","TRRA","65926","F",,"83","12","24",1.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"SYSTEM","MADISON",,"17",-6.00,"2","1","000",,,,0.00,"6","Y","W/B MAIN LINE","1",,"1","NHIR","002078","035","Y",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,24.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2400.00,7500.00,"M599",,0.00,0.00,0.00,0.00,"M599","1","1","000",9900.00,,"17C119",0.00,"000000",0.00,"1","1","1","1","05","45","05","45","1","4",,"3S","0","SYSTEM","G",160.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"MADISON","119","00","00",,"N",,,"SOU TRAIN 112 HANDLIN 63X24 CARS ENTERING WESTBOUND MAIN LINE AT COPEMN YARD MOVING AT 5 MPH DERAILE","D NHIR 2078 AND SOU 99228 CAUSED BY IMPROPER TRAIN HANDLING.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","SP","61053",,,,,"83","12","SP","61053","F",,"83","12","29",1.00,55.00,"PM","01",0.00,0.00,0.00,0.00,"SACRAMENTO","PROMONTORY PT","757.0","49",32.00,"2","2","045","E",,"3",1880.00,"1","Y","MAIN","3","0044.0","1","SP","009224","001","N",,,,,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,21.00,0.00,29.00,0.00,1.00,15.00,0.00,0.00,0.00,0.00,692500.00,65000.00,"M404",,0.00,1.00,0.00,1.00,"M404","1","3","045",757500.00,,"49C057",0.00,"000000",0.00,"1","1","1","2","07","55","07","55","1","7","W","1L","0","SACRAM","GIM",161.00,,"1983",0.00,0.00,0.00,0.00,0.00,1.00,"WEBER","057","00","00",,"N",,,"TRAIN STRUCK END LOADER DERAILING THREE UNITS & FIFTEEN CARS ALSO DAMAGED END LOADER & CAB OF WORK T","RAIN. END LOADER WAS OUT TO FOUL BOTH EAST & WEST MAIN LINES.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","BN","AN808",,,,,"83","12","OPPZ","INDUSTRY","F",,"83","12","05",12.00,35.00,"PM","04",0.00,0.00,0.00,0.00,"ALLIANCE","OSAGE","0000.0","56",20.00,"2","1","005","E","X15","3",8112.00,"1","Y","SIDING","1",,"4","NAHX","481115","065","Y",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,41.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,46750.00,0.00,"H022",,0.00,0.00,0.00,0.00,"H022","4","1","005",95000.00,,"56C045",0.00,"000000",0.00,"1","0","1","2","04","35","04","35","1","8","W","1L","0","ALLIAN","NI",170.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"WESTON","045","00","00",,"N",,,"CUT OF CARS SET AT PLANT HAND BRAKES DID NOT HOLD AND CARS RAN INTO SIDE OF TRAIN X15 THAT WAS ON SI","DING. CAUSE BY NON-RAILROAD EMPLOYEES FAILURE TO PROPERLY SECURE CARS.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","NW","T021283010",,,,,"83","12","NW","T021283010","F",,"83","12","22",3.00,17.00,"PM","01",1.00,1.00,0.00,0.00,"SHENANDOAH","FRONT ROYAL","H 61","51",40.00,"2","3","004","E","4AXR","1",2030.00,"7","Y","RUN-A-ROUND","1",,"4","CP","057667","014","Y",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,6150.00,1500.00,"T311","T315",0.00,0.00,0.00,0.00,"T311","4","1","004",7650.00,,"51C187",0.00,"000000",0.00,"1","0","1","2","03","47","03","47","1","2","E","1L","1","SHENAN","N",60.00,"166","1983",0.00,0.00,0.00,0.00,0.00,0.00,"WARREN","187","00","00",,"N",,,"SWITCH POINT GAPPED 5/16"" AND 1/2"" PLAY IN NO. 1 SWITCH ROD.",,,,,,,,,,,,,,,,,,,,,,,
,"83","12","NW","T051283024",,,,,"83","12","NW","T051283024","F",,"83","12","31",3.00,5.00,"AM","01",2.00,0.00,0.00,0.00,"POCAHONTAS","WILLIAMSON","N468.2","54",5.00,"4","1","024","R","CN86","3",7912.00,"1","Y","MAIN","2","032.74","1","NAHX","051500","037","Y","NAHX","051500","037","Y",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,12.00,0.00,1.00,7.00,0.00,0.00,0.00,0.00,23500.00,9000.00,"E20C",,0.00,0.00,0.00,0.00,"E20C","1","2","024",32500.00,,"54C059",0.00,"000000",0.00,"1","1","1","2","00","30","00","30","1","2","E","1L","1","POCAHO","E",154.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"MINGO","059","00","00",,"N",,,"5CN86 LEAVING WILLIAMSON YARD DERAILED 31ST THRU 37TH CARS FROM HEADEND AT SYCAMORE, W.VA. DERAILMEN","T WAS CAUSED BY BODY BOLSTER OF 34TH CAR FROM HEADEND.",,,,,,,,,,,,,,,,,,,,,,
,"83","12","NW","T071283009",,,,,"83","12","NW","T071283009","F",,"83","12","28",12.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"SCIOTO","COLUMBUS","N 703","39",30.00,"2","5","010","R","3CN8","4",2169.00,"1","Y","22 OLD YARD","1",,"2","ATSF","292091","021","Y",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,14000.00,6000.00,"T311",,0.00,0.00,0.00,0.00,"T311","2","1","010",20000.00,,"39C049",0.00,"000000",0.00,"1","1","1","2","03","20","03","20","1","2","E","1L","0","SCIOTO","F",172.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"FRANKLIN","049","00","00",,"N",,,"TRAIN WAS BACKING 18 SET OFF CARS INTO EAST END OF NO. 22 TRACK AND POWER SWITCH #210 THREW BETWEEN","TRUCKS OF FIRST CAR OF SET OFF, DERAILING HEAD CAR AND 3 FOLLOWING CARS.",,,,,,,,,,,,,,,,,,,,,,
